usp - full ver: 0.34; Copyright (c) TZWorks LLC
	
	
"cmdline: usp64.exe -sys f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\system\SYSTEM -setupapi f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\windows\setupapi.dev.log -sw f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\system\SOFTWARE -pair_datetime -no_whitespace -all_usb_devices"

device name|vid/pid date [UTC]|install date [UTC]|disk dev date [UTC]|vol dev date [UTC]|type|vid|pid|hub|port|vendor|product|rev|volume guid|vol|vol name|users [ date/time - utc]|instance id/serial #|Other dates defined by explicit property keys|Readyboost (list of EMDMgmt entries) vol serial# / vol name / last modify regtimes [utc] and * = test time
USB2.0 Flash Disk USB Device|10/21/2013 18:45:56.650|10/17/2013 17:06:15.883|10/17/2013 21:06:15.797|10/17/2013 21:06:15.817|disk|#1221|#3234|3|4|usb2.0|flash_disk|#2.10|8dfc9016-376f-11e3-be88-24fd52566ede||||1000000000001c37&0|[DEVPKEY Install: 10/17/2013 21:06:15.779 UTC]; [DEVPKEY LastArrival: 10/21/2013 18:45:56.650 UTC]; [DEVPKEY LastRemoval: 10/21/2013 18:49:26.707 UTC]|944e-9b06/blake files [10/17/2013 21:06:15.862]
SMI USB DISK USB Device|10/21/2013 20:11:48.324|10/21/2013 14:46:16.603|10/21/2013 18:46:16.396|10/21/2013 18:46:16.443|disk|#090c|#1000|4|2|smi|usb_disk|#1100|dc8ffae8-3a6b-11e3-be8a-24fd52566ede|f:\|||aa04012700011123&0|[DEVPKEY Install: 10/21/2013 18:46:16.365 UTC]; [DEVPKEY LastArrival: 10/21/2013 20:11:48.324 UTC]; [DEVPKEY LastRemoval: 10/21/2013 20:16:45.968 UTC]|39c7-1beb/usb [10/21/2013 18:46:16.521]
USB Composite Device|10/21/2013 20:40:23.321| | | |usbccgp|#0421|#0661|3|4||||||||0000001173c819470000000000000000|[DEVPKEY Install: 10/19/2013 19:40:14.423 UTC]; [DEVPKEY LastArrival: 10/21/2013 20:40:23.290 UTC]; [DEVPKEY LastRemoval: 10/21/2013 20:50:22.839 UTC]|
Donald's Windows Phone|10/21/2013 20:40:25.385|10/19/2013 15:40:14.786| | |WUDFWpdMtp|#0421|#0661||||||||||6&6d096df&0&0000|[DEVPKEY Install: 10/19/2013 19:40:18.757 UTC]; [DEVPKEY LastArrival: 10/21/2013 20:40:23.321 UTC]; [DEVPKEY LastRemoval: 10/21/2013 20:50:22.839 UTC]|
Generic USB Hub|10/23/2013 02:56:16.598| | | |usbhub|#8087|#0024|2|1||||||||5&294335c8&1&1|[DEVPKEY Install: 09/23/2013 19:14:30.021 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:16.287 UTC]|
Generic USB Hub|10/23/2013 02:56:16.909| | | |usbhub|#8087|#0024|1|1||||||||5&1a59d89a&1&1|[DEVPKEY Install: 09/23/2013 19:14:28.394 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:16.598 UTC]|
USB Composite Device|10/23/2013 02:56:16.996| | | |usbccgp|#0bda|#1724|4|7||||||||00e04c000001|[DEVPKEY Install: 09/23/2013 19:14:30.958 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:16.975 UTC]|
RTL8723A 4.0 + High Speed Chip|10/23/2013 02:56:18.476| | | |BTHUSB|#0bda|#1724||||||||||7&1308b7d4&1&0000|[DEVPKEY Install: 09/23/2013 19:14:39.088 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:16.996 UTC]|
USB Composite Device|10/23/2013 02:56:18.679| | | |usbccgp|#03eb|#8814|5|4||||||||6&b2dbb92&0&4|[DEVPKEY Install: 09/23/2013 19:14:29.340 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:18.663 UTC]|
USB Composite Device|10/23/2013 02:56:18.788| | | |usbccgp|#04f2|#b35e|4|8||||||||0x0001|[DEVPKEY Install: 09/23/2013 19:14:31.005 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:18.679 UTC]|
USB Input Device|10/23/2013 02:56:19.038| | | |HidUsb|#03eb|#8814||||||||||7&8bb8b58&0&0000|[DEVPKEY Install: 09/23/2013 19:14:29.355 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:18.679 UTC]|
Realtek USB 2.0 Card Reader|10/23/2013 02:56:19.038| | | |RSUSBVSTOR|#0bda|#0129|5|3||||||||20100201396000000|[DEVPKEY Install: 10/13/2013 09:36:09.902 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:18.648 UTC]|
USB Input Device|10/23/2013 02:56:19.054| | | |HidUsb|#03eb|#8814||||||||||7&8bb8b58&0&0001|[DEVPKEY Install: 09/23/2013 19:14:29.387 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:18.695 UTC]|
@oem17.inf,%rtsuvc.FriendlyName%;Lenovo EasyCamera|10/23/2013 02:56:19.135| | | |rtsuvc|#04f2|#b35e||||||||||7&38823332&1&0000|[DEVPKEY Install: 09/23/2013 19:14:44.214 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:18.788 UTC]|
FRESPONS TACTICAL_Subject USB Device|10/23/2013 02:56:28.916|10/22/2013 17:41:53.670|10/22/2013 21:41:53.514|10/22/2013 21:41:53.545|disk|#1307|#0116|5|2|frespons|tactical_subject|#0.00|afd25598-3b2c-11e3-be8c-24fd52566ede||||00000022928277&0|[DEVPKEY Install: 10/22/2013 21:41:53.357 UTC]; [DEVPKEY LastArrival: 10/23/2013 02:56:28.916 UTC]; [DEVPKEY LastRemoval: 10/23/2013 03:06:37.367 UTC]|1af7-457b/subject [10/22/2013 21:41:53.670]
WD 2500BMV External USB Device|10/23/2013 03:09:13.901| |10/23/2013 03:09:13.999| |disk|#1058|#0704|3|4|wd|2500bmv_external|#1.75|||||57442d5758453830385a3735373133&0|[DEVPKEY Install: 10/23/2013 03:09:13.917 UTC]; [DEVPKEY LastArrival: 10/23/2013 03:09:13.901 UTC]|
USB Input Device|10/23/2013 03:58:22.573| | | |HidUsb|#2047|#0855|4|6||||||||0f73806f2e001600|[DEVPKEY Install: 09/23/2013 19:14:30.942 UTC]; [DEVPKEY LastArrival: 10/23/2013 03:58:22.557 UTC]|
