sbag - full ver: 0.42; Copyright (c) TZWorks LLC
	
	
"cmdline: <filelist> ... | ..\root\tools\TZworks\sbag64.exe -pipe -base10 -pair_datetime -no_whitespace -csv -csv_separator |"

analyzing hive: f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\ntuser\232321.Donald.NTUSER.DAT
regdate [UTC]|mru|modify date [UTC]|access date [UTC]|create date [UTC]|type|bag|file size|inode|seq#|full path|source subkey/value name|user acct|extra metadata|bag registry dates related to this entry
10/18/2013 02:20:06.573||07/22/2013 05:00:52|07/22/2013 05:00:52|07/22/2013 05:00:52|dir|17||||Desktop\{CLSID_MyComputer}\asgardventurecapital.sharepoint.com\IWConvertedForms\|Shell\BagMRU\1\0\2|Donald||10/18/2013 02:20:00.051; 10/18/2013 02:20:00.048
10/18/2013 02:20:06.573||07/22/2013 05:01:20|07/22/2013 05:01:20|07/22/2013 05:01:20|dir|12||||Desktop\{CLSID_MyComputer}\asgardventurecapital.sharepoint.com\m\|Shell\BagMRU\1\0\1|Donald||10/07/2013 08:30:35.911; 10/07/2013 08:30:35.902
10/18/2013 02:20:06.573|<-|09/21/2013 22:00:00|09/21/2013 22:00:00|07/22/2013 05:01:22|dir|5||||Desktop\{CLSID_MyComputer}\asgardventurecapital.sharepoint.com\Shared Documents\|Shell\BagMRU\1\0\0|Donald||09/23/2013 21:02:05.491; 09/23/2013 21:02:05.486
10/18/2013 02:20:09.666|<-|09/26/2013 17:12:40|09/26/2013 17:12:40|09/26/2013 17:11:06|dir|13||||Desktop\{CLSID_MyComputer}\asgardventurecapital.sharepoint.com\Shared Documents\Business Plans\|Shell\BagMRU\1\0\0\0|Donald||10/07/2013 11:36:03.088; 10/07/2013 11:36:03.082
10/13/2013 09:34:03.467|<-|09/26/2013 17:12:20|09/26/2013 17:12:20|09/26/2013 17:11:06|dir|14||||Desktop\{CLSID_MyComputer}\asgardventurecapital.sharepoint.com\Shared Documents\Business Plans\In Review - NOT FOR RELEASE\|Shell\BagMRU\1\0\0\0\0|Donald||10/13/2013 09:34:03.474; 10/13/2013 09:34:03.468
10/18/2013 02:20:09.666||10/13/2013 12:40:18|10/13/2013 12:40:18|10/13/2013 12:40:18|dir|16||||Desktop\{CLSID_MyComputer}\asgardventurecapital.sharepoint.com\Shared Documents\Startups\|Shell\BagMRU\1\0\0\1|Donald||10/18/2013 02:19:56.961; 10/18/2013 02:19:56.957
10/21/2013 20:14:47.863|| | | |dir|||||Desktop\{CLSID_Network}\|Shell\BagMRU\0|Donald||
09/23/2013 19:22:18.914|<-| | | |dir|2||||Desktop\{CLSID_Network}\DavWWWRoot\|Shell\BagMRU\0\0|Donald|[1] \\asgardventurecapital.sharepoint.com@SSL\DavWWWRoot; [2] Web Client Network; [3] https://asgardventurecapital.sharepoint.com|09/23/2013 19:22:18.914
09/23/2013 19:22:18.914||07/22/2013 05:01:20|07/22/2013 05:01:20|07/22/2013 05:01:20|dir|4||||Desktop\{CLSID_Network}\DavWWWRoot\m\|Shell\BagMRU\0\0\1|Donald||09/23/2013 19:22:18.929
09/23/2013 19:22:18.914|<-|09/21/2013 22:00:00|09/21/2013 22:00:00|07/22/2013 05:01:22|dir|3||||Desktop\{CLSID_Network}\DavWWWRoot\Shared Documents\|Shell\BagMRU\0\0\0|Donald||09/23/2013 19:22:18.929; 09/23/2013 19:22:18.914

