sbag - full ver: 0.42; Copyright (c) TZWorks LLC
	
	
"cmdline: <filelist> ... | sbag64.exe -pipe -base10 -pair_datetime -no_whitespace -csv -csv_separator |"

analyzing hive: f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\usrclass\232681.Donald.UsrClass.dat
regdate [UTC]|mru|modify date [UTC]|access date [UTC]|create date [UTC]|type|bag|file size|inode|seq#|full path|source subkey/value name|extra metadata|bag registry dates related to this entry
10/01/2013 18:57:00.042||10/01/2013 18:44:34|10/01/2013 18:44:34|10/01/2013 18:44:26|dir|113||53281|100|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\dblak_000\|Shell\BagMRU\3\1\0\0||10/01/2013 18:44:49.519; 10/01/2013 18:44:49.382
10/01/2013 18:48:00.857|<-|10/01/2013 18:47:58|10/01/2013 18:47:58|10/01/2013 18:47:58|dir|117||24864|3|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\dblak_000\History\|Shell\BagMRU\3\1\0\0\0||10/01/2013 18:48:00.864; 10/01/2013 18:48:00.858
10/01/2013 18:57:00.042|<-|01/24/2013 17:57:46|01/24/2013 17:57:46|07/26/2012 05:38:00|dir|||70410|3|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\Public\|Shell\BagMRU\3\1\0\1|[1] @shell32.dll,-21816|
10/21/2013 19:52:31.907|<-|10/21/2013 19:47:30|10/21/2013 19:47:30|08/22/2013 15:36:32|dir|224||290029|3|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\Public\Documents\|Shell\BagMRU\3\1\0\1\1|[1] @shell32.dll,-21801|10/21/2013 19:52:58.122
10/21/2013 19:55:37.961||10/21/2013 19:46:56|10/21/2013 19:46:56|10/21/2013 19:46:56|dir|222||35894|5|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\Public\Documents\Articles\|Shell\BagMRU\3\1\0\1\1\1||10/21/2013 19:52:34.008
10/21/2013 19:55:37.961||10/21/2013 19:47:26|10/21/2013 19:47:26|10/21/2013 19:46:56|dir|226||35908|5|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\Public\Documents\Lean startup\|Shell\BagMRU\3\1\0\1\1\2||10/21/2013 19:52:59.190
10/21/2013 19:55:37.961|<-|10/21/2013 19:47:30|10/21/2013 19:47:30|10/21/2013 19:47:28|dir|228||35918|5|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\Public\Documents\Templates\|Shell\BagMRU\3\1\0\1\1\3||10/21/2013 19:53:53.333
10/21/2013 19:55:37.961||10/21/2013 19:47:30|10/21/2013 19:47:30|10/21/2013 19:47:30|dir|221||35928|5|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\Public\Documents\Workshop\|Shell\BagMRU\3\1\0\1\1\0||10/21/2013 19:52:31.907
10/21/2013 19:52:31.907||01/24/2013 17:48:58|01/24/2013 17:48:58|07/26/2012 08:13:00|dir|||70417|3|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\Public\Videos\|Shell\BagMRU\3\1\0\1\0|[1] @shell32.dll,-21804|
10/01/2013 18:57:00.042|<-|07/14/2009 04:54:26|07/14/2009 05:32:40|07/14/2009 05:32:40|dir|119||21700|5|Desktop\{CLSID_ComputersAndDevices}\valhalla\Users\Public\Videos\Sample Videos\|Shell\BagMRU\3\1\0\1\0\0||10/01/2013 18:57:00.043
10/23/2013 03:09:17.069|| | | |dir|1||||Desktop\{CLSID_ControlPanel}\|Shell\BagMRU\0||09/23/2013 19:22:18.257
10/22/2013 16:52:25.071|| | | |dir|||||Desktop\{CLSID_ControlPanel}\All Control Panel Items\|Shell\BagMRU\0\3||
10/21/2013 20:10:20.283|| | | |dir|17||||Desktop\{CLSID_ControlPanel}\All Control Panel Items\{CLSID_Recovery}\|Shell\BagMRU\0\3\0||09/23/2013 19:22:18.304
10/21/2013 20:10:20.283|<-| | | |dir|||||Desktop\{CLSID_ControlPanel}\All Control Panel Items\{CLSID_Troubleshooting}\|Shell\BagMRU\0\3\1||
10/21/2013 20:10:20.283|<-| | | |dir|248||||Desktop\{CLSID_ControlPanel}\All Control Panel Items\{CLSID_Troubleshooting}\Additional Information\|Shell\BagMRU\0\3\1\0|[1] keywords : +;NetworkDiagnostics; [2] Name : DiagCpl.dll,-1|10/21/2013 20:10:20.361; 10/21/2013 20:10:20.283
10/22/2013 16:52:25.071|| | | |dir|||||Desktop\{CLSID_ControlPanel}\Appearance and Personalization\|Shell\BagMRU\0\2||
09/23/2013 19:22:18.101|<-| | | |dir|8||||Desktop\{CLSID_ControlPanel}\Appearance and Personalization\{CLSID_Personalization}\|Shell\BagMRU\0\2\0||09/23/2013 19:22:18.742; 09/23/2013 19:22:18.726
10/22/2013 16:52:25.071|| | | |dir|||||Desktop\{CLSID_ControlPanel}\Ease of Access\|Shell\BagMRU\0\5||
09/23/2013 19:22:18.117|<-| | | |dir|41||||Desktop\{CLSID_ControlPanel}\Ease of Access\{CLSID_EaseOfAccess}\|Shell\BagMRU\0\5\0||09/23/2013 19:22:18.492
10/22/2013 16:52:25.071|| | | |dir|130||||Desktop\{CLSID_ControlPanel}\Hardward and Sound\|Shell\BagMRU\0\4||10/04/2013 17:35:53.550; 10/04/2013 17:35:53.549
